"uuid","match_id","puuid","win_label","champion_name","team_position","side","patch","team_first_blood","enemy_first_blood","first_blood_advantage","team_first_dragon","enemy_first_dragon","first_dragon_advantage","team_first_grub","enemy_first_grub","first_grub_advantage","team_first_herald","enemy_first_herald","first_herald_advantage","team_first_tower","enemy_first_tower","first_tower_advantage"
"NA1_5550313943_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550313943","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,0,1,-1,1,0,1
"NA1_5550283769_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550283769","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","blue","16.9.771.8383",0,1,-1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5550257801_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550257801","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","red","16.9.771.8383",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5548953980_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548953980","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","red","16.8.766.8562",1,0,1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5548922348_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548922348","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","blue","16.8.766.8562",1,0,1,1,0,1,1,0,1,0,1,-1,1,0,1
"NA1_5548869715_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548869715","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","blue","16.8.766.8562",0,1,-1,0,1,-1,0,1,-1,0,0,0,1,0,1
"NA1_5548798551_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548798551","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","MIDDLE","blue","16.8.766.8562",1,0,1,0,1,-1,1,0,1,0,1,-1,0,1,-1
"NA1_5548475467_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548475467","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Ezreal","BOTTOM","blue","16.8.766.8562",0,1,-1,1,0,1,1,0,1,0,0,0,1,0,1
"NA1_5548445984_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548445984","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Aurora","TOP","blue","16.8.766.8562",0,1,-1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5548410284_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5548410284","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Anivia","TOP","blue","16.8.766.8562",0,1,-1,0,1,-1,1,0,1,1,0,1,0,1,-1
"NA1_5550165760_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5550165760","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Vayne","TOP","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5550131317_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5550131317","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Sion","TOP","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,0,1,-1,0,1,-1
"NA1_5550113748_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5550113748","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Aatrox","TOP","red","16.9.771.8383",1,0,1,0,1,-1,1,0,1,1,0,1,0,1,-1
"NA1_5550090401_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5550090401","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Irelia","TOP","red","16.9.771.8383",1,0,1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5545315584_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545315584","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Gnar","TOP","red","16.8.766.8562",0,1,-1,0,1,-1,0,1,-1,1,0,1,1,0,1
"NA1_5545295750_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545295750","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Sion","TOP","blue","16.8.766.8562",0,1,-1,0,1,-1,1,0,1,0,0,0,0,1,-1
"NA1_5545261585_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545261585","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Renekton","TOP","red","16.8.766.8562",0,1,-1,1,0,1,0,1,-1,0,1,-1,0,1,-1
"NA1_5545243087_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545243087","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Irelia","TOP","red","16.8.766.8562",0,1,-1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5545213347_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545213347","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Aatrox","JUNGLE","red","16.8.766.8562",0,1,-1,1,0,1,0,1,-1,0,0,0,0,1,-1
"NA1_5545175302_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5545175302","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Irelia","TOP","red","16.8.766.8562",1,0,1,1,0,1,0,1,-1,0,1,-1,1,0,1
"NA1_5540965144_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5540965144","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Irelia","TOP","red","16.8.764.3737",1,0,1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5540901430_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5540901430","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Vayne","TOP","red","16.8.764.3737",1,0,1,0,1,-1,1,0,1,1,0,1,1,0,1
"NA1_5540875962_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5540875962","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Jayce","TOP","blue","16.8.764.3737",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5540285565_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5540285565","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Vayne","TOP","red","16.7.760.9485",1,0,1,0,1,-1,1,0,1,1,0,1,1,0,1
"NA1_5539782086_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5539782086","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Akali","TOP","red","16.7.760.9485",1,0,1,0,1,-1,1,0,1,0,0,0,0,1,-1
"NA1_5539721477_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5539721477","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",1,"Irelia","TOP","red","16.7.760.9485",1,0,1,1,0,1,1,0,1,0,1,-1,1,0,1
"NA1_5539353159_8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q","NA1_5539353159","8ljKMeebSyZIMp22D_oYejhALrAHzoorsuPHr58qPG7Yd7NCbvAcs0A6hb_P6ngjHEg1dDED6g7f4Q",0,"Sion","TOP","red","16.7.760.9485",0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,-1
"NA1_5550476764_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550476764","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Orianna","MIDDLE","blue","16.9.771.8383",0,1,-1,1,0,1,1,0,1,0,1,-1,0,1,-1
"NA1_5550467244_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550467244","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Ahri","MIDDLE","blue","16.9.771.8383",1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1
"NA1_5550454578_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550454578","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","blue","16.9.771.8383",0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1,-1
"NA1_5550362057_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550362057","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","red","16.9.771.8383",0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,-1
"NA1_5550334453_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550334453","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","red","16.9.771.8383",0,1,-1,0,1,-1,1,0,1,0,1,-1,0,1,-1
"NA1_5550306961_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550306961","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Orianna","MIDDLE","red","16.9.771.8383",1,0,1,1,0,1,1,0,1,0,1,-1,0,1,-1
"NA1_5550276228_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550276228","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Ahri","MIDDLE","red","16.9.771.8383",0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,-1
"NA1_5550240667_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550240667","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,1,0,1,0,1,-1
"NA1_5550207368_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550207368","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","red","16.9.771.8383",1,0,1,1,0,1,1,0,1,0,1,-1,1,0,1
"NA1_5550179547_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550179547","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Ahri","MIDDLE","red","16.9.771.8383",1,0,1,0,1,-1,0,1,-1,0,1,-1,1,0,1
"NA1_5550146659_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550146659","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",0,"Ahri","MIDDLE","red","16.9.771.8383",1,0,1,1,0,1,0,1,-1,0,1,-1,1,0,1
"NA1_5550119657_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550119657","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Ahri","MIDDLE","blue","16.9.771.8383",0,1,-1,0,1,-1,1,0,1,1,0,1,0,1,-1
"NA1_5550095267_nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw","NA1_5550095267","nEqWiabTz3pvh482EIgPk39QtGcnnj7vk81imRd14_t6Qy_fkEjgzkIRIMpylpZ0x0ysX3U4DR0Ybw",1,"Ahri","MIDDLE","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,0,0,0,0,1,-1
"NA1_5547727251_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5547727251","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",0,"Gnar","TOP","blue","16.8.766.8562",0,1,-1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5547663072_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5547663072","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",0,"Bard","UTILITY","blue","16.8.766.8562",1,0,1,1,0,1,0,1,-1,0,0,0,1,0,1
"NA1_5547186613_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5547186613","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",1,"Zyra","UTILITY","blue","16.8.766.8562",1,0,1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5547039861_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5547039861","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",0,"Skarner","UTILITY","blue","16.8.766.8562",0,1,-1,1,0,1,1,0,1,0,1,-1,1,0,1
"NA1_5546987366_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5546987366","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",0,"Maokai","UTILITY","blue","16.8.766.8562",0,1,-1,0,1,-1,1,0,1,0,0,0,0,1,-1
"NA1_5546526831_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5546526831","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",1,"Zyra","UTILITY","blue","16.8.766.8562",0,1,-1,0,1,-1,1,0,1,1,0,1,1,0,1
"NA1_5546431293_Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ","NA1_5546431293","Cq22bYH87WuiJL2GRZOYz4OQTw44qUinEHcc1Q-4LSrk3M3oWwh2lHrMihXq2KyptrHem7sF2yDLHQ",0,"Karma","UTILITY","red","16.8.766.8562",0,1,-1,1,0,1,0,1,-1,1,0,1,1,0,1
"NA1_5551040186_Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ","NA1_5551040186","Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ",1,"Rengar","JUNGLE","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,0,1,-1,1,0,1
"NA1_5551012965_Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ","NA1_5551012965","Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ",1,"Evelynn","JUNGLE","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,0,0,0,1,0,1
"NA1_5550984504_Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ","NA1_5550984504","Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ",1,"Rengar","JUNGLE","red","16.9.771.8383",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5550957241_Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ","NA1_5550957241","Fr13MrbTXNdr55Zy96MCHRvqPUvWVUV0w4DSvE__A2lZNXl1UYL_jECYNP9KD_IzuFh0q79hJbVwfQ",1,"Rengar","JUNGLE","red","16.9.771.8383",0,1,-1,1,0,1,0,1,-1,1,0,1,1,0,1
